Id,Score,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32
26,1,10,0,c,b,0,5,18,e,b,3,c,f,1,67,b,8,a,1,1,a,1,a,1,b,b,3,b,a,b,5,3,b
27,4,10,0,c,b,1,3,18,e,b,20,d,h,2,90,r,21,i,4,0,a,5,a,1,b,b,8,h,a,b,15,18,b
28,4,13,6,b,a,0,1,6,d,b,16,d,f,0,68,r,8,f,0,0,a,5,a,3,b,a,9,h,a,b,10,0,b
29,3,16,6,c,a,0,2,3,e,b,11,c,a,1,89,i,7,a,1,0,b,5,a,2,b,a,20,b,a,b,15,18,b
30,4,17,10,d,a,0,4,0,d,b,20,d,b,1,37,k,13,f,0,1,b,0,a,2,b,a,14,f,a,c,10,3,b
31,4,0,6,a,a,0,0,7,d,b,14,c,f,1,63,i,12,c,3,1,b,3,a,1,b,a,7,b,a,b,15,15,b
32,5,14,0,b,a,0,1,12,e,b,5,c,d,1,25,i,17,c,1,0,b,2,a,1,b,a,2,b,a,b,0,12,b
33,1,10,1,a,b,0,4,13,e,b,0,c,f,0,82,a,9,f,0,5,a,4,a,3,b,b,9,b,a,b,5,15,b
34,1,21,0,b,a,0,2,12,c,b,0,d,c,0,30,k,23,f,0,0,b,3,b,1,b,a,9,f,h,b,5,9,b
35,1,10,5,a,a,0,1,5,e,b,19,c,f,1,68,i,5,a,2,1,a,6,a,1,b,a,7,a,b,b,5,18,b
36,1,17,1,b,a,0,1,13,a,b,6,c,c,1,40,b,17,c,4,0,b,0,a,1,b,a,7,a,a,b,5,9,a
37,4,14,5,a,a,0,0,5,e,b,19,d,a,1,25,k,5,h,1,8,a,5,a,1,b,a,14,g,a,b,10,18,a
38,10,21,10,a,a,0,3,6,c,b,12,d,h,1,44,k,12,g,3,3,a,5,a,1,b,a,5,h,a,b,15,18,b
39,17,17,6,b,b,0,2,18,e,b,0,c,h,3,87,i,11,c,4,0,a,1,a,1,b,b,4,b,a,b,15,0,b
40,1,14,10,a,a,0,1,4,e,b,2,d,b,1,91,k,9,i,1,0,b,2,b,1,b,a,14,f,a,b,15,12,b
41,11,1,5,b,a,0,1,7,d,b,0,c,f,1,9,b,10,f,4,1,b,2,b,1,b,a,6,j,a,b,10,18,b
42,1,15,1,c,b,0,2,13,e,b,14,d,f,1,73,m,20,i,1,0,a,3,a,1,b,b,6,f,a,b,15,12,b
43,1,12,6,a,a,0,0,6,c,b,0,d,h,3,53,r,7,g,3,5,a,4,a,4,b,a,10,f,a,b,5,0,b
44,13,9,1,a,a,0,6,15,a,b,12,c,f,1,41,i,10,b,2,6,a,5,a,0,a,a,12,a,a,b,5,15,a
45,5,14,6,b,a,0,2,11,a,b,5,d,f,1,53,j,18,f,1,0,b,3,a,1,b,a,3,f,a,b,15,18,a
46,3,14,1,a,a,0,2,3,a,b,19,e,a,1,46,n,9,h,1,1,b,6,a,1,b,a,14,f,a,b,5,18,a
47,4,5,6,a,a,0,3,16,a,b,15,c,a,0,60,b,7,a,0,1,a,6,b,2,b,a,8,d,a,b,15,18,a
48,2,17,1,c,a,0,0,10,e,b,17,d,f,0,40,k,12,i,0,0,a,3,b,1,b,a,15,f,a,b,15,6,b
49,1,19,0,c,a,0,2,11,e,b,15,d,a,0,25,k,13,i,0,0,a,5,a,3,b,a,3,f,e,b,5,18,b
50,4,0,1,b,a,0,0,16,e,b,5,d,f,0,51,r,6,f,0,0,a,2,a,2,b,a,5,h,a,b,5,9,b
51,7,0,6,b,a,0,0,15,a,b,8,c,f,1,50,i,10,b,1,0,a,5,a,1,b,a,3,b,a,b,5,9,a
52,1,8,0,a,a,0,5,1,e,b,24,d,f,1,42,r,10,i,1,4,b,6,a,1,b,a,7,f,a,b,10,15,b
53,8,18,6,b,a,0,3,8,a,b,0,c,a,2,21,a,8,f,6,0,b,6,b,1,b,a,3,j,a,b,15,9,a
54,1,12,5,a,a,0,1,1,e,b,24,a,b,2,60,c,17,a,0,0,b,4,a,1,b,a,20,e,f,a,5,18,b
55,2,11,10,a,a,0,1,11,e,b,10,c,f,2,31,b,9,c,2,8,b,0,b,3,c,a,13,b,a,b,5,15,b
56,1,17,10,b,a,0,3,14,e,b,11,c,a,1,58,a,14,c,2,0,b,2,a,1,b,a,5,b,a,b,5,15,a
57,10,1,1,b,a,0,1,12,e,b,4,e,f,0,78,k,10,f,0,0,a,6,a,1,b,a,3,l,a,d,10,18,b
58,1,6,5,a,b,1,4,10,e,b,19,c,b,5,80,i,2,c,5,10,a,6,b,1,b,b,13,j,a,b,15,0,b
59,1,9,1,a,a,0,4,3,e,b,8,d,a,1,63,m,8,g,1,1,b,3,a,3,b,a,16,f,a,b,10,9,b
60,2,17,1,a,a,0,0,4,c,b,9,d,b,1,71,n,6,i,1,0,b,0,a,3,b,a,7,k,a,b,10,18,b
61,7,7,10,a,a,0,3,14,a,b,13,d,f,0,59,r,13,i,0,5,b,4,a,1,b,a,12,h,a,b,5,18,a
62,1,16,10,c,a,0,0,18,e,b,15,c,f,2,44,b,16,c,6,0,b,4,a,1,c,a,10,b,a,b,10,18,b
63,1,21,6,a,a,0,7,13,e,b,5,c,c,0,83,d,14,f,0,2,a,3,a,3,b,a,6,j,a,b,10,18,b
64,1,18,1,a,b,0,4,18,d,b,15,c,f,0,63,a,15,f,0,10,a,2,b,1,b,b,16,b,a,b,5,18,b
65,1,21,1,a,a,0,1,14,e,d,23,c,h,1,78,e,14,c,1,2,a,0,a,1,b,a,14,b,a,b,10,15,a
66,1,16,1,a,a,0,4,5,d,b,20,c,c,1,45,a,10,a,3,5,a,2,b,4,b,a,6,b,a,b,0,9,b
67,4,15,6,a,a,0,3,5,b,b,20,d,a,1,59,n,5,i,1,8,a,2,a,1,b,a,12,f,a,a,5,18,a
68,2,12,10,a,a,0,5,8,c,b,14,d,f,1,91,k,19,i,1,10,b,0,a,2,b,a,13,f,a,b,5,15,b
69,4,17,6,a,a,0,0,5,e,b,22,c,a,0,73,b,9,a,0,0,a,5,a,3,b,a,12,b,a,b,15,12,b
70,4,16,6,a,a,0,3,2,a,b,19,c,f,1,81,i,13,b,4,3,a,4,b,1,b,a,7,j,a,b,10,18,a
71,5,4,6,c,b,0,2,6,e,b,12,c,a,3,91,a,9,a,3,0,b,6,b,3,b,b,9,b,a,b,15,15,b
72,6,18,6,a,b,0,0,14,e,b,13,c,h,0,94,e,13,c,1,5,a,0,a,1,b,b,12,b,a,d,10,9,b
73,5,16,1,a,a,0,5,7,c,b,17,d,f,0,75,r,13,i,0,3,b,5,b,1,b,a,14,f,a,c,5,18,b
74,1,23,6,b,a,0,6,12,e,b,5,d,a,0,61,k,9,f,0,0,b,3,b,1,d,a,3,f,a,b,15,3,b
75,4,16,10,a,a,0,4,18,a,b,18,c,f,0,47,g,8,a,0,10,b,4,a,1,b,a,12,b,a,b,10,15,a
76,6,10,10,b,b,0,1,18,e,b,0,d,h,3,88,k,16,f,6,0,b,2,b,1,b,b,3,h,c,b,15,9,b
77,1,12,1,a,a,0,2,16,e,b,8,a,a,0,57,i,11,a,0,3,a,6,b,1,b,a,13,b,a,b,0,18,b
78,1,4,10,a,b,0,2,6,e,b,4,c,a,3,97,i,5,a,3,3,a,3,a,1,b,b,13,b,a,b,5,15,b
79,1,14,10,a,b,0,6,16,d,b,8,c,h,1,75,i,7,b,1,5,b,0,a,3,b,b,10,b,a,b,10,18,b
80,1,5,0,a,a,0,3,11,e,b,18,c,f,1,30,a,9,f,1,3,a,3,a,3,b,a,8,b,a,b,5,18,b
81,7,14,6,a,a,0,2,17,d,b,15,d,f,0,57,k,6,i,4,10,a,2,a,1,b,a,15,f,a,b,5,6,b
82,5,15,5,b,a,0,3,1,a,b,3,c,c,1,49,e,9,a,1,0,b,0,a,1,b,a,8,j,a,b,10,15,a
83,1,5,5,c,b,0,0,4,e,b,9,d,a,1,85,j,2,i,1,0,b,1,a,3,b,b,8,f,a,b,5,12,b
84,4,2,1,a,b,0,0,5,e,b,23,d,a,1,76,k,8,g,1,0,b,2,a,3,b,b,13,l,a,b,15,9,b
85,7,6,10,a,a,0,4,15,a,b,16,a,d,1,41,b,10,b,1,1,b,5,a,1,b,a,14,b,b,b,10,18,a
86,1,9,5,a,a,0,6,16,a,b,0,d,f,0,85,k,5,i,0,3,a,4,a,1,b,a,8,h,a,b,0,6,a
87,2,17,1,b,a,0,1,14,a,b,6,d,f,0,54,r,10,f,0,0,a,4,b,1,b,a,8,h,a,b,5,6,a
88,7,7,1,a,a,0,2,8,a,b,20,c,f,0,36,e,13,c,0,3,a,5,a,3,b,a,8,b,a,b,15,18,a
89,1,8,10,a,a,0,3,18,a,b,1,d,h,3,28,j,13,g,3,6,b,3,b,1,b,a,11,h,a,b,15,15,a
90,13,5,6,a,a,0,3,8,d,b,7,d,f,1,47,n,8,i,1,0,b,3,a,1,b,a,8,f,a,b,15,12,b
91,5,14,1,c,a,0,1,4,e,b,0,c,c,0,53,g,7,a,0,1,a,0,a,1,b,a,10,c,c,b,5,0,b
92,1,6,5,a,a,0,4,2,c,b,7,a,f,1,71,b,13,f,3,4,a,3,a,2,b,a,8,b,f,b,15,18,b
93,4,3,1,a,a,0,2,5,c,b,20,a,f,1,82,i,15,b,3,2,a,0,b,2,b,a,7,b,a,b,15,15,b
94,3,16,6,a,a,0,1,5,e,b,1,d,a,1,32,r,8,g,1,2,b,5,a,3,b,a,13,f,a,b,5,0,b
95,2,5,10,a,a,0,3,6,e,b,11,c,a,0,55,b,8,a,0,4,a,1,a,3,b,a,13,b,a,b,15,18,a
96,1,11,5,a,a,0,4,8,e,b,6,c,f,1,60,e,12,f,4,4,a,3,a,1,b,a,6,b,a,b,10,18,b
97,1,5,6,b,a,1,3,11,e,b,0,d,f,3,56,r,33,f,3,0,b,5,a,3,b,a,13,h,a,b,15,18,b
98,2,17,1,a,a,0,0,4,a,b,11,c,f,1,61,b,8,a,1,7,b,3,a,1,b,a,18,b,a,b,10,18,a
99,1,1,6,b,a,0,1,13,d,b,0,c,c,0,78,i,15,f,0,0,b,3,a,1,b,a,3,b,a,b,15,15,b
100,1,17,1,a,b,0,0,13,e,b,2,c,f,1,95,i,14,b,1,5,b,2,a,1,b,b,13,j,a,b,15,9,b
101,4,17,1,b,a,0,3,0,e,b,21,a,f,1,46,b,17,a,1,6,b,2,a,1,b,a,3,j,a,b,15,18,b
102,3,5,0,a,a,0,3,14,c,b,16,d,a,1,14,k,17,g,3,4,b,6,a,3,b,a,6,f,a,b,5,9,b
103,3,8,10,a,a,0,1,4,e,b,18,d,a,0,36,k,11,g,0,5,a,3,a,3,b,a,16,f,a,b,10,18,b
104,1,17,1,a,a,0,0,2,d,b,16,d,f,0,70,k,7,i,0,9,b,6,a,1,b,a,19,f,a,b,5,18,b
105,7,11,10,c,a,0,4,11,e,b,12,d,c,1,36,n,17,i,1,5,a,2,b,1,b,a,10,f,e,b,0,9,a
106,1,16,10,a,a,0,2,7,c,b,19,c,f,1,97,b,17,c,1,11,b,2,a,1,b,a,16,b,a,b,10,9,b
107,1,13,10,a,b,0,4,6,e,b,16,d,a,0,93,k,7,g,0,5,a,5,a,1,b,b,14,f,a,b,15,6,b
108,1,2,10,a,a,0,1,2,e,b,17,d,f,1,80,k,14,i,1,1,a,0,b,1,b,a,16,f,a,b,10,18,b
109,7,10,10,a,a,0,2,6,e,b,19,c,a,1,57,b,10,a,2,1,b,2,a,3,b,a,3,b,a,b,5,12,b
110,11,3,1,a,a,0,2,17,e,b,6,c,c,0,27,i,4,c,0,0,a,3,a,1,c,a,5,j,a,b,5,18,b
111,4,7,6,a,a,0,4,4,e,b,15,c,h,1,65,b,5,a,1,2,a,5,b,3,b,a,10,b,a,b,10,15,b
112,1,4,6,b,a,0,0,16,a,b,7,d,f,1,31,r,8,f,3,0,a,6,b,1,b,a,7,h,a,b,5,18,a
113,2,16,10,a,a,0,1,7,c,b,12,c,a,2,77,b,13,c,3,1,b,2,a,1,b,a,8,b,a,b,10,12,b
114,4,14,10,b,b,0,4,11,e,b,0,c,f,3,72,a,17,f,3,0,b,3,b,1,b,b,7,j,a,b,5,3,b
115,1,6,1,a,a,0,3,7,e,b,13,c,f,0,60,e,12,f,0,3,b,2,b,1,b,a,13,b,a,b,5,12,b
116,4,17,1,a,a,0,3,8,a,b,16,a,a,1,62,a,16,f,1,1,b,0,a,1,b,a,3,b,a,b,10,9,a
117,2,5,10,c,b,0,1,9,e,b,15,c,f,2,28,e,16,c,3,5,b,6,a,3,b,b,10,j,a,b,15,3,b
118,1,13,0,a,b,0,0,7,e,b,5,c,a,3,83,b,11,f,3,5,a,3,b,1,b,a,13,b,a,b,0,0,b
119,1,5,5,a,a,0,3,3,d,d,16,d,h,0,65,n,7,g,0,0,a,5,b,3,b,a,14,l,a,b,15,15,b
120,1,7,5,a,a,0,5,7,a,b,16,d,f,3,77,k,14,i,3,4,b,3,b,1,b,a,11,f,a,d,10,9,a
121,1,9,0,e,a,0,1,12,e,b,0,c,h,1,31,i,10,c,2,6,b,6,b,1,b,a,10,j,a,b,10,18,b
122,1,5,1,b,b,0,3,17,a,d,8,a,a,2,56,i,16,f,2,0,b,4,a,4,b,b,13,b,a,b,10,3,a
123,1,6,6,b,a,0,0,14,e,b,5,c,f,1,21,i,14,c,1,0,b,2,a,1,b,a,1,b,a,b,15,9,b
124,1,11,10,a,a,0,2,1,e,b,23,c,b,0,53,b,10,a,1,1,b,5,a,2,b,a,14,b,f,b,15,9,b
125,16,17,6,a,a,0,4,8,e,d,16,d,h,2,98,k,11,g,2,8,a,5,a,1,b,a,12,f,a,c,10,6,b
126,4,19,10,b,a,0,0,12,e,b,8,c,f,1,45,b,14,c,1,0,b,6,a,3,b,a,4,b,a,b,10,18,b
127,4,16,1,a,b,0,1,15,c,b,15,c,a,3,58,e,7,a,5,1,b,2,a,1,b,b,12,b,a,b,5,12,b
128,1,8,0,c,a,0,0,17,e,b,4,c,h,1,43,b,6,a,1,0,b,2,a,1,b,a,9,b,a,d,15,3,b
129,1,16,6,a,a,0,0,8,e,b,15,d,f,1,98,r,12,i,1,11,a,5,b,1,b,a,21,f,a,b,10,3,b
130,6,8,1,c,b,0,5,1,e,b,17,c,b,1,89,i,10,a,1,2,b,0,a,1,c,b,3,b,f,b,15,18,b
131,3,17,5,b,a,0,2,9,a,b,2,c,f,0,17,i,8,a,0,0,a,6,a,1,b,a,13,j,b,b,15,18,a
132,7,2,5,c,a,0,1,2,e,b,23,c,f,1,31,b,9,f,1,0,b,5,b,1,b,a,7,b,f,b,5,18,b
133,5,12,6,c,a,0,0,1,d,b,16,c,f,1,35,b,8,a,1,0,b,5,a,1,b,a,3,b,a,b,15,15,b
134,1,11,6,a,a,0,4,1,e,a,23,c,b,1,55,c,15,a,1,0,a,3,a,2,b,a,12,b,f,b,5,18,b
135,1,17,6,a,a,0,2,0,c,b,20,a,b,1,20,b,17,a,3,1,a,3,a,3,b,a,16,a,a,b,5,18,a
136,1,3,6,a,a,0,2,15,a,b,20,d,a,1,58,r,8,g,1,1,a,6,b,3,b,a,4,g,a,b,5,15,a
137,18,9,1,a,a,0,1,3,e,b,16,e,f,1,53,k,6,i,3,1,a,0,a,3,b,a,3,h,a,b,10,3,b
138,4,6,1,a,a,1,4,18,c,d,8,d,f,1,47,k,21,i,1,0,a,2,b,3,b,a,9,l,a,b,5,6,b
139,3,18,6,a,b,0,7,7,e,b,19,d,a,1,86,r,12,g,1,4,b,4,b,1,b,b,4,f,a,b,10,6,b
140,2,18,6,a,a,0,3,14,b,b,0,d,f,1,52,k,10,i,1,3,a,1,a,1,b,a,5,f,a,b,15,15,b
141,1,11,6,b,a,0,2,1,e,b,22,c,b,1,51,e,12,a,0,0,b,3,b,1,b,a,6,e,f,b,5,15,b
142,1,7,10,b,a,0,5,16,a,b,11,a,f,0,59,a,8,a,0,0,a,6,a,3,d,a,3,b,a,b,15,0,a
143,2,17,1,a,a,0,0,5,e,b,21,d,a,0,85,n,9,g,0,0,b,3,a,3,b,a,15,h,a,b,5,15,a
144,6,16,6,a,a,0,1,15,d,b,15,d,f,1,45,l,6,i,1,10,a,6,a,1,b,a,18,f,a,b,5,15,b
145,7,7,6,b,b,0,5,3,a,b,8,c,f,1,49,b,9,c,1,0,b,2,a,3,b,a,13,b,a,b,15,12,a
146,23,17,6,a,a,0,4,5,e,b,17,d,f,1,24,n,6,i,1,7,a,5,b,3,b,a,16,f,a,b,15,18,b
147,2,21,1,b,a,0,3,8,e,b,8,d,h,1,42,k,16,f,1,0,b,3,a,1,b,a,2,f,a,b,10,12,b
148,12,17,6,a,a,0,6,13,a,b,20,e,h,1,62,n,7,g,2,7,b,5,b,1,b,a,12,f,a,b,10,12,a
149,4,19,6,a,a,0,1,10,e,b,0,d,f,1,65,n,15,i,1,1,a,5,b,2,b,a,2,h,a,b,5,12,b
150,7,0,10,b,a,0,0,11,a,b,0,d,f,0,15,k,12,f,0,0,b,6,a,1,b,a,3,f,a,b,10,18,a
151,1,9,10,a,a,0,1,7,a,b,20,c,a,1,91,b,11,c,5,1,a,4,b,2,b,a,8,b,a,b,10,9,a
152,1,3,1,b,a,0,1,14,a,b,9,d,f,1,31,m,14,f,1,0,a,3,a,1,b,a,2,h,a,b,15,0,a
153,4,12,0,a,b,0,1,7,e,b,12,d,f,1,93,k,9,i,1,1,a,4,a,1,b,b,8,i,a,b,5,18,b
154,1,13,6,a,a,0,3,0,d,b,20,d,b,1,33,n,13,i,4,0,b,6,a,3,b,a,7,f,a,b,5,15,b
155,2,6,1,c,a,0,2,12,e,b,21,c,f,1,53,i,21,f,1,0,b,0,a,3,b,a,4,j,a,b,15,9,b
156,5,18,10,a,a,0,5,8,c,b,23,d,h,0,66,r,11,g,0,11,b,5,b,1,b,a,18,g,a,b,10,15,b
157,1,11,10,b,a,0,3,13,a,b,16,c,c,0,68,i,9,f,0,0,a,3,a,1,b,a,2,b,a,b,15,12,a
158,4,12,10,a,a,0,0,6,e,b,16,c,a,1,13,i,6,a,1,0,a,5,a,3,b,a,6,b,a,b,15,15,b
159,9,18,5,c,a,0,8,2,e,b,0,d,b,0,74,r,9,i,0,0,b,2,a,1,b,a,11,f,b,b,15,9,a
160,1,22,10,c,a,1,3,10,e,b,15,d,f,1,46,k,18,i,1,0,a,2,a,1,b,a,4,f,a,a,15,18,b
161,1,6,6,a,b,0,3,9,c,b,19,c,f,1,91,i,14,c,1,3,a,5,b,1,b,b,5,j,a,b,5,18,b
162,8,22,5,a,a,0,1,8,e,b,23,c,f,1,55,d,14,c,1,0,a,4,b,1,b,a,1,b,a,b,5,18,b
163,10,3,1,c,b,0,2,15,e,b,1,c,e,1,86,b,7,a,1,1,b,1,a,1,b,b,11,b,a,b,15,15,b
164,7,4,1,a,b,0,2,5,e,b,18,c,f,1,85,b,6,a,1,2,a,2,b,1,b,b,9,b,a,d,5,3,b
165,5,6,10,a,a,0,0,7,e,b,16,d,f,1,22,r,14,i,1,1,b,3,a,2,b,a,9,f,a,b,10,15,b
166,1,5,10,b,a,0,3,18,a,b,4,c,f,1,36,b,14,c,1,0,a,5,b,1,b,a,2,b,a,b,15,6,a
167,4,14,10,b,a,0,3,10,e,b,17,d,f,1,52,j,8,f,1,0,b,2,a,1,b,a,4,h,a,c,5,15,b
168,1,4,5,a,a,0,0,13,e,b,12,d,f,1,99,r,12,i,1,10,b,2,a,1,b,a,15,f,a,d,0,9,b
169,1,14,10,c,b,0,3,13,d,b,17,c,a,1,78,i,13,f,3,0,b,6,b,1,b,b,9,b,a,b,5,18,b
170,4,14,0,b,a,0,1,7,a,b,6,d,f,1,47,r,8,f,1,0,b,6,a,1,b,a,10,f,a,b,5,9,a
171,1,9,1,a,a,0,3,4,e,b,16,a,a,1,69,b,9,a,3,4,a,6,a,3,b,a,9,b,a,b,10,9,b
172,1,3,6,c,a,0,2,4,e,b,11,c,b,1,90,b,7,a,1,0,b,3,a,3,b,a,1,b,a,b,10,6,b
173,8,1,6,a,b,0,1,13,c,b,1,d,c,1,62,k,7,i,1,3,a,0,a,1,b,b,8,k,a,b,15,9,a
174,2,19,10,a,a,0,5,14,a,b,17,c,c,1,58,i,15,c,1,5,a,3,a,1,b,a,15,b,a,b,10,18,a
175,8,17,10,b,a,0,4,9,e,b,0,d,f,1,38,k,11,f,1,2,a,5,a,1,b,a,10,h,a,b,5,12,a
176,3,17,1,b,a,0,3,18,a,b,13,c,a,1,70,e,21,a,3,0,b,4,a,1,b,a,5,b,a,b,15,9,a
177,4,19,10,a,a,0,3,11,e,b,3,c,f,0,36,a,11,c,0,0,a,2,a,3,b,a,5,j,a,b,10,18,b
178,2,1,5,a,b,2,0,10,c,b,14,c,a,1,85,i,28,c,2,3,b,2,a,1,b,b,9,b,a,d,5,3,b
179,4,9,1,a,a,0,2,2,e,b,20,d,f,2,36,j,13,i,4,3,b,1,b,1,b,a,3,l,a,b,10,15,b
180,1,3,6,a,a,0,2,8,e,b,16,d,f,1,43,m,10,i,1,2,a,3,a,3,b,a,12,f,a,b,15,15,b
181,4,1,6,a,a,0,1,1,e,b,2,c,f,1,58,i,22,a,1,0,b,5,b,1,b,a,4,j,a,b,15,3,b
182,7,18,6,a,b,0,1,7,e,b,11,e,a,1,84,n,12,g,1,2,a,4,a,1,b,b,4,f,a,b,0,18,b
183,2,8,10,b,a,0,3,8,a,b,0,d,a,0,62,k,11,f,1,2,b,4,a,1,b,a,15,h,a,b,10,3,a
184,1,4,5,a,a,0,0,4,e,b,10,e,g,1,21,r,8,g,1,0,a,2,a,3,b,a,9,h,c,b,5,9,b
185,1,20,10,b,a,0,4,0,d,b,21,a,f,1,42,e,27,a,0,3,b,2,a,1,b,a,9,b,a,b,15,9,b
186,4,5,6,a,a,0,3,1,e,b,17,e,f,1,92,r,15,i,1,0,a,5,b,1,c,a,11,f,a,a,15,12,b
187,4,4,6,c,a,0,2,17,d,b,5,d,f,0,41,k,8,i,2,0,b,1,a,3,b,a,5,f,a,b,10,0,b
188,1,5,10,a,a,0,3,2,e,b,18,c,f,1,49,b,11,f,4,3,a,6,a,1,b,a,7,j,a,b,10,6,b
189,4,12,1,a,b,0,4,10,e,b,5,d,f,1,65,r,14,i,4,3,a,6,a,1,b,b,9,f,g,b,15,12,b
190,5,13,5,a,a,0,0,5,e,b,10,c,a,1,39,a,7,a,1,0,b,6,a,3,b,a,4,j,a,b,5,18,b
191,1,16,10,a,a,0,3,18,a,b,0,c,a,0,49,a,12,f,1,0,b,2,b,1,b,a,10,b,a,b,15,12,a
192,1,15,1,c,b,0,4,4,e,b,6,d,a,1,92,j,5,i,1,0,a,2,a,1,b,b,7,h,a,b,5,12,b
193,4,22,1,a,a,0,0,12,e,b,16,d,a,1,75,k,14,i,1,1,b,5,a,1,d,a,6,k,a,b,10,12,a
194,7,21,6,a,a,0,3,12,e,b,18,c,f,1,60,i,20,c,1,8,a,0,a,2,b,a,15,j,a,b,15,9,b
195,1,18,10,a,b,0,1,3,e,b,15,c,f,1,83,e,11,f,1,4,b,3,a,2,b,b,6,b,a,b,5,18,b
196,5,9,6,a,a,0,4,10,e,b,8,c,f,1,66,d,9,c,1,0,a,6,a,1,b,a,8,j,a,b,5,9,b
197,6,15,6,a,a,0,2,17,e,b,22,a,a,1,24,i,7,a,1,4,b,2,a,1,b,a,10,b,a,b,15,9,b
198,4,12,0,b,a,0,1,3,d,b,0,c,a,3,53,e,10,b,3,0,a,5,a,2,b,a,9,b,a,b,10,6,b
199,2,20,6,b,a,0,1,7,a,b,6,d,a,1,36,r,16,f,3,0,b,6,b,1,b,a,3,f,a,b,10,9,a
200,1,15,5,c,b,0,0,16,e,b,16,c,a,1,84,i,5,a,1,0,b,2,a,1,b,b,13,b,a,b,10,0,b
201,4,20,1,a,a,0,0,2,e,b,4,d,c,0,55,r,19,i,0,3,a,4,a,2,b,a,10,f,a,b,10,3,b
